SO_N_HM [1/min],SO_M_VM [Nm],speed_step,N_HM [1/min],M_HMmess [Nm],PA1_P_1 [W],PA1_P_2 [W],PA1_P_4 [W],PA1_PM [W],Eff_Sys_WT [%],Eff_Motor_PA [%],Eff_DCtoAC_WT [%],T_MOTOR [°C],T_Rotor [°C],motor_loss [kW],motor_eff_motor_ge_80%,motor_eff_generator_eff_ge_80%,motor_eff_motor_eff_interval,motor_eff_motor_eff_interval_value,motor_eff_generator_eff_interval,motor_eff_generator_eff_interval_value,peu_eff_motor_ge_80%,peu_eff_generator_eff_ge_80%,peu_eff_motor_eff_interval,peu_eff_motor_eff_interval_value,peu_eff_generator_eff_interval,peu_eff_generator_eff_interval_value,sys_eff_motor_ge_80%,sys_eff_generator_eff_ge_80%,sys_eff_motor_eff_interval,sys_eff_motor_eff_interval_value,sys_eff_generator_eff_interval,sys_eff_generator_eff_interval_value,motor_motor_eff [%],peu_motor_eff [%],sys_motor_eff [%],motor_motor_speed [rpm],motor_motor_torque [Nm],motor_motor_loss [kW],motor_generator_eff [%],peu_generator_eff [%],sys_generator_eff [%],motor_generator_speed [rpm],motor_generator_torque [Nm],motor_generator_loss [kW],motor_motor_loss_max [kW],motor_generator_loss_max [kW],motor_max_eff [%],motor_max_eff_operator,generator_max_eff [%],generator_max_eff_operator
500.0,-155.0,134.0,500.0060216,-155.18241930000005,-2036.071852,-4813.697573,-5306.207307,-8124.831842560846,65.30851850008933,84.30659929622665,77.46548792771955,59.0,,1.2750624175608454,,,,,,,,,,,,,,,,,,,93.46105200939323,85.44467649281789,79.85749353621033,500.0,25.89410583,0.09484598815954565,78.29043018005426,74.13795140535261,58.04292108193013,500.0,-225.6302273,2.5644954890939062,,,,,,
500.0,-150.0,126.0,500.0066875,-150.1638944,-2023.868669,-4629.204578,-5170.766699,-7862.089154035999,65.76835492059499,84.62220558240107,77.71997251543262,59.0,,1.2090159070359987,,,,,,,,,,,,,,,,,,,84.68097418781588,85.89958570830404,72.74060600108973,500.0,177.53755690000003,1.6814959435688215,84.75859988887903,77.88971669306314,66.0182333264548,500.0,-144.9118008,1.1563918837158116,,,,,,
500.0,-145.0,118.0,500.011265,-144.9118008,-1986.983103,-4443.801226,-5008.919695000001,-7587.176212715812,66.0182333264548,84.75859988887903,77.88971669306314,61.185,,1.1563918837158116,,,,,,,,,,,,,,,,,,,83.90843475701497,85.95439015440985,72.12298338350308,500.0,187.3802905,1.881324720514207,72.48374263508668,69.28496076803506,50.22033264792331,500.0,-291.721226,4.202589552852396,,,,,,
500.0,-140.0,110.0,500.01085430000006,-140.0194804,-1939.871066,-4328.525537,-4876.33009,-7331.021990936764,66.51637515244855,85.50508524936261,77.79230318110744,61.0,,1.0626253879367642,,,,,,,,,,,,,,,,,,,75.89512986599726,84.34137950917788,64.01099950926415,500.0,322.2681859,5.359055019292668,93.04172799162164,81.00966353568847,75.37279079380318,500.0,-35.8024935,0.1304276488224218,,,,,,
500.0,-135.0,104.0,500.010179,-135.1022676,-1896.082888,-4180.142706000001,-4733.722737,-7073.561152458837,66.92135170633978,85.90051691131345,77.90564493975238,61.0,,0.9973355584588353,,,,,,,,,,,,,,,,,,,76.08725091737479,84.53027745866157,64.31676431112494,500.0,317.2887587,5.220871036637825,89.4035741966762,69.20196828827315,61.86903306416662,500.0,-5.202184064,0.028861095084584974,,,,,,
500.0,-130.0,98.0,499.98706160000006,-130.1626204,-1849.401599,-3995.680096,-4591.469524,-6814.620534445258,67.37674534909033,85.77266577728551,78.55270060515382,61.0,,0.9695388394452584,,,,,,,,,,,,,,,,,,,76.42189249216416,84.6007154808565,64.65346783238182,500.0,312.0417747,5.040363017240851,93.38571961818387,76.25003996600557,71.20664853140711,500.0,-10.39713814,0.036005897356863784,,,,,,
500.0,-125.0,92.0,500.019455,-125.0509386,-1812.282288,-3817.620973,-4441.458525,-6547.424310577011,67.83520227679553,85.98653445913374,78.89049454485821,61.0,,0.9175210495770106,,,,,,,,,,,,,,,,,,,76.80351448907615,84.54304651719565,64.93203098134076,500.0,307.3299580000001,4.859834403789493,94.44413041818727,78.26300834706927,73.91481767250289,500.0,-15.44299888,0.04492204796664862,,,,,,
500.0,-120.0,86.0,500.0126978,-120.0938493,-1777.296586,-3665.399523,-4303.403791,-6287.795767296297,68.44057838809911,86.5596833998366,79.06750082709789,59.0,,0.8450996582962962,,,,,,,,,,,,,,,,,,,77.43573187116746,84.41432296241976,65.3668487900407,500.0,302.3380016000001,4.612617653536312,94.42776711721787,79.5233563271106,75.09212971635935,500.0,-20.5352074,0.059911876590972496,,,,,,
500.0,-115.0,80.0,500.0221432,-115.057943,-1737.966947,-3504.1206520000005,-4136.522341,-6024.242853512401,68.66460137124491,87.01653845086327,78.90982862989733,62.0,,0.7821552545124004,,,,,,,,,,,,,,,,,,,77.40028426434061,84.86913577135122,65.68895233971503,500.0,297.246953,4.544102290486704,94.56712992553598,79.93829736440811,75.59535352886112,500.0,-25.64690146,0.07295737565832679,,,,,,
500.0,-110.0,74.0,500.0247072,-110.0930115,-1705.0251280000002,-3327.429805,-3982.801178,-5764.316841890443,69.09407111448468,87.30357943595578,79.14231187413198,61.0,,0.7318619088904424,,,,,,,,,,,,,,,,,,,77.3643883725101,85.16215068773836,65.88517700444419,500.0,292.1833481,4.475910570677955,94.26265155582921,80.12971996418223,75.5323987224988,500.0,-30.72112526,0.09228832814741418,,,,,,
